algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,2,512,20

size,avg_time,avg_comps,avg_swaps
2,0.0,0,0
12,0.0,55,7
22,0.0,265,24
32,0.0,730,51
42,0.0,1550,89
52,0.0,2825,135
62,0.0,4655,191
72,0.0,7140,258
82,0.0,10380,333
92,781.25,14475,420
102,0.0,19525,516
112,781.25,25630,622
122,0.0,32890,738
132,0.0,41405,863
142,781.25,51275,998
152,781.25,62600,1143
162,781.25,75480,1299
172,1562.5,90015,1463
182,781.25,106305,1638
192,1562.5,124450,1823
202,781.25,144550,2018
212,1562.5,166705,2223
222,1562.5,191015,2437
232,1562.5,217580,2662
242,2343.75,246500,2898
252,1562.5,277875,3142
262,2343.75,311805,3396
272,2343.75,348390,3661
282,2343.75,387730,3936
292,3125.0,429925,4221
302,3125.0,475075,4515
312,3125.0,523280,4819
322,3125.0,574640,5135
332,3906.25,629255,5460
342,3906.25,687225,5795
352,3906.25,748650,6139
362,3906.25,813630,6494
372,4687.5,882265,6858
382,5468.75,954655,7232
392,4687.5,1030900,7617
402,5468.75,1111100,8011
412,4687.5,1195355,8415
422,6250.0,1283765,8829
432,6250.0,1376430,9254
442,5468.75,1473450,9688
452,7031.25,1574925,10133
462,7031.25,1680955,10587
472,7812.5,1791640,11052
482,7812.5,1907080,11525
492,8593.75,2027375,12009
502,8593.75,2152625,12503
512,9375.0,2282930,13007
